year,financial_integration_index,trade_openness,h2_interconnection_component,notes
1810,0.05,0.1,0.08714285714285716,Pre-globalization
1811,0.051000000000000004,0.10125,0.08845714285714287,Pre-globalization
1812,0.052000000000000005,0.10250000000000001,0.08977142857142859,Pre-globalization
1813,0.053,0.10375000000000001,0.0910857142857143,Pre-globalization
1814,0.054,0.10500000000000001,0.09240000000000001,Pre-globalization
1815,0.055,0.10625000000000001,0.09371428571428572,Pre-globalization
1816,0.056,0.1075,0.09502857142857143,Pre-globalization
1817,0.056999999999999995,0.10875,0.09634285714285715,Pre-globalization
1818,0.057999999999999996,0.11,0.09765714285714287,Pre-globalization
1819,0.059,0.11125,0.09897142857142857,Pre-globalization
1820,0.06,0.1125,0.10028571428571428,Pre-globalization
1821,0.061,0.11375,0.1016,Pre-globalization
1822,0.062,0.115,0.10291428571428572,Pre-globalization
1823,0.063,0.11625,0.10422857142857143,Pre-globalization
1824,0.064,0.1175,0.10554285714285716,Pre-globalization
1825,0.065,0.11875,0.10685714285714287,Pre-globalization
1826,0.066,0.12,0.10817142857142859,Pre-globalization
1827,0.067,0.12125,0.10948571428571428,Pre-globalization
1828,0.068,0.1225,0.11080000000000001,Pre-globalization
1829,0.069,0.12375,0.11211428571428572,Pre-globalization
1830,0.07,0.125,0.11342857142857143,Pre-globalization
1831,0.07200000000000001,0.12625,0.11534285714285716,Pre-globalization
1832,0.07400000000000001,0.1275,0.11725714285714287,Pre-globalization
1833,0.076,0.12875,0.11917142857142857,Pre-globalization
1834,0.078,0.13,0.1210857142857143,Pre-globalization
1835,0.08,0.13125,0.12300000000000001,Pre-globalization
1836,0.082,0.1325,0.12491428571428573,Pre-globalization
1837,0.08399999999999999,0.13375,0.12682857142857143,Pre-globalization
1838,0.086,0.135,0.12874285714285716,Pre-globalization
1839,0.088,0.13624999999999998,0.13065714285714283,Pre-globalization
1840,0.09,0.1375,0.1325714285714286,Pre-globalization
1841,0.093,0.13874999999999998,0.13508571428571428,Pre-globalization
1842,0.096,0.14,0.1376,Pre-globalization
1843,0.09899999999999999,0.14125,0.14011428571428572,Pre-globalization
1844,0.102,0.1425,0.14262857142857144,Pre-globalization
1845,0.105,0.14375,0.14514285714285713,Pre-globalization
1846,0.108,0.145,0.14765714285714285,Pre-globalization
1847,0.11099999999999999,0.14625,0.15017142857142857,Pre-globalization
1848,0.11399999999999999,0.1475,0.15268571428571429,Pre-globalization
1849,0.11699999999999999,0.14875,0.1552,Pre-globalization
1850,0.12,0.15,0.15771428571428572,Pre-globalization
1851,0.123,0.1525,0.16094285714285714,Pre-globalization
1852,0.126,0.155,0.16417142857142858,Pre-globalization
1853,0.129,0.1575,0.1674,Pre-globalization
1854,0.132,0.16,0.17062857142857146,Pre-globalization
1855,0.135,0.1625,0.17385714285714288,Pre-globalization
1856,0.13799999999999998,0.165,0.1770857142857143,Pre-globalization
1857,0.141,0.1675,0.18031428571428573,Pre-globalization
1858,0.144,0.17,0.18354285714285715,Pre-globalization
1859,0.147,0.17250000000000001,0.1867714285714286,Pre-globalization
1860,0.15,0.175,0.19,Pre-globalization
1861,0.155,0.1775,0.19442857142857142,Pre-globalization
1862,0.16,0.18,0.19885714285714287,Pre-globalization
1863,0.165,0.1825,0.2032857142857143,Pre-globalization
1864,0.17,0.185,0.20771428571428574,Pre-globalization
1865,0.175,0.1875,0.21214285714285713,Pre-globalization
1866,0.18,0.19,0.21657142857142858,Pre-globalization
1867,0.185,0.1925,0.22100000000000003,Pre-globalization
1868,0.19,0.195,0.22542857142857142,Pre-globalization
1869,0.195,0.1975,0.22985714285714287,Pre-globalization
1870,0.2,0.2,0.23428571428571432,First globalization (Gold Standard)
1871,0.21000000000000002,0.20348837209302326,0.24227906976744187,First globalization (Gold Standard)
1872,0.22,0.20697674418604653,0.2502724252491695,First globalization (Gold Standard)
1873,0.23,0.21046511627906977,0.258265780730897,First globalization (Gold Standard)
1874,0.24,0.21395348837209302,0.2662591362126246,First globalization (Gold Standard)
1875,0.25,0.2174418604651163,0.2742524916943522,First globalization (Gold Standard)
1876,0.26,0.22093023255813954,0.28224584717607976,First globalization (Gold Standard)
1877,0.27,0.2244186046511628,0.29023920265780734,First globalization (Gold Standard)
1878,0.28,0.22790697674418606,0.2982325581395349,First globalization (Gold Standard)
1879,0.29,0.2313953488372093,0.30622591362126245,First globalization (Gold Standard)
1880,0.3,0.23488372093023258,0.31421926910299003,First globalization (Gold Standard)
1881,0.31,0.23837209302325582,0.3222126245847176,First globalization (Gold Standard)
1882,0.32,0.24186046511627907,0.3302059800664452,First globalization (Gold Standard)
1883,0.33,0.24534883720930234,0.3381993355481728,First globalization (Gold Standard)
1884,0.34,0.24883720930232558,0.34619269102990036,First globalization (Gold Standard)
1885,0.35,0.25232558139534883,0.3541860465116279,First globalization (Gold Standard)
1886,0.36,0.2558139534883721,0.3621794019933555,First globalization (Gold Standard)
1887,0.37,0.2593023255813953,0.37017275747508305,First globalization (Gold Standard)
1888,0.38,0.2627906976744186,0.37816611295681063,First globalization (Gold Standard)
1889,0.39,0.26627906976744187,0.3861594684385382,First globalization (Gold Standard)
1890,0.4,0.2697674418604651,0.39415282392026574,First globalization (Gold Standard)
1891,0.41000000000000003,0.27325581395348836,0.4021461794019934,First globalization (Gold Standard)
1892,0.42000000000000004,0.27674418604651163,0.41013953488372096,First globalization (Gold Standard)
1893,0.43,0.28023255813953485,0.41813289036544854,First globalization (Gold Standard)
1894,0.44,0.2837209302325581,0.42612624584717607,First globalization (Gold Standard)
1895,0.45,0.2872093023255814,0.4341196013289037,First globalization (Gold Standard)
1896,0.46,0.2906976744186046,0.44211295681063123,First globalization (Gold Standard)
1897,0.47,0.2941860465116279,0.45010631229235876,First globalization (Gold Standard)
1898,0.48,0.29767441860465116,0.4580996677740864,First globalization (Gold Standard)
1899,0.49,0.3011627906976744,0.4660930232558139,First globalization (Gold Standard)
1900,0.5,0.30465116279069765,0.4740863787375415,First globalization (Gold Standard)
1901,0.505,0.3081395348837209,0.4790797342192691,First globalization (Gold Standard)
1902,0.51,0.31162790697674414,0.48407308970099666,First globalization (Gold Standard)
1903,0.515,0.3151162790697674,0.48906644518272424,First globalization (Gold Standard)
1904,0.52,0.3186046511627907,0.4940598006644519,First globalization (Gold Standard)
1905,0.525,0.3220930232558139,0.4990531561461794,First globalization (Gold Standard)
1906,0.53,0.32558139534883723,0.504046511627907,First globalization (Gold Standard)
1907,0.535,0.32906976744186045,0.5090398671096346,First globalization (Gold Standard)
1908,0.54,0.33255813953488367,0.5140332225913622,First globalization (Gold Standard)
1909,0.545,0.33604651162790694,0.5190265780730897,First globalization (Gold Standard)
1910,0.55,0.3395348837209302,0.5240199335548172,First globalization (Gold Standard)
1911,0.55,0.34302325581395343,0.5260132890365449,First globalization (Gold Standard)
1912,0.55,0.3465116279069767,0.5280066445182725,First globalization (Gold Standard)
1913,0.55,0.35,0.53,First globalization (Gold Standard)
1914,0.55,0.34411764705882353,0.5266386554621849,Deglobalization (Wars & Depression)
1915,0.47500000000000003,0.338235294117647,0.47827731092436976,Deglobalization (Wars & Depression)
1916,0.4,0.3323529411764706,0.4299159663865546,Deglobalization (Wars & Depression)
1917,0.325,0.3264705882352941,0.38155462184873956,Deglobalization (Wars & Depression)
1918,0.25,0.3205882352941176,0.3331932773109244,Deglobalization (Wars & Depression)
1919,0.275,0.31470588235294117,0.3448319327731093,Deglobalization (Wars & Depression)
1920,0.3,0.3088235294117647,0.35647058823529415,Deglobalization (Wars & Depression)
1921,0.3055555555555555,0.3029411764705882,0.35644257703081234,Deglobalization (Wars & Depression)
1922,0.3111111111111111,0.29705882352941176,0.3564145658263306,Deglobalization (Wars & Depression)
1923,0.31666666666666665,0.29117647058823526,0.3563865546218487,Deglobalization (Wars & Depression)
1924,0.3222222222222222,0.2852941176470588,0.35635854341736695,Deglobalization (Wars & Depression)
1925,0.3277777777777778,0.27941176470588236,0.35633053221288513,Deglobalization (Wars & Depression)
1926,0.3333333333333333,0.2735294117647059,0.3563025210084034,Deglobalization (Wars & Depression)
1927,0.33888888888888885,0.2676470588235294,0.35627450980392156,Deglobalization (Wars & Depression)
1928,0.34444444444444444,0.26176470588235295,0.3562464985994398,Deglobalization (Wars & Depression)
1929,0.35,0.25588235294117645,0.356218487394958,Deglobalization (Wars & Depression)
1930,0.3,0.25,0.32285714285714284,Deglobalization (Wars & Depression)
1931,0.25,0.2475,0.2914285714285714,Deglobalization (Wars & Depression)
1932,0.19999999999999998,0.245,0.26,Deglobalization (Wars & Depression)
1933,0.15,0.2425,0.22857142857142856,Deglobalization (Wars & Depression)
1934,0.15833333333333333,0.24,0.23214285714285715,Deglobalization (Wars & Depression)
1935,0.16666666666666666,0.2375,0.2357142857142857,Deglobalization (Wars & Depression)
1936,0.175,0.23500000000000001,0.23928571428571432,Deglobalization (Wars & Depression)
1937,0.18333333333333335,0.2325,0.24285714285714288,Deglobalization (Wars & Depression)
1938,0.19166666666666668,0.23,0.24642857142857144,Deglobalization (Wars & Depression)
1939,0.2,0.2275,0.25,Deglobalization (Wars & Depression)
1940,0.19166666666666668,0.225,0.2435714285714286,Deglobalization (Wars & Depression)
1941,0.18333333333333335,0.2225,0.23714285714285716,Deglobalization (Wars & Depression)
1942,0.175,0.22,0.23071428571428576,Deglobalization (Wars & Depression)
1943,0.16666666666666669,0.2175,0.2242857142857143,Deglobalization (Wars & Depression)
1944,0.15833333333333333,0.21500000000000002,0.21785714285714286,Deglobalization (Wars & Depression)
1945,0.15,0.21250000000000002,0.21142857142857144,Bretton Woods (Limited integration)
1946,0.16,0.21000000000000002,0.21600000000000003,Bretton Woods (Limited integration)
1947,0.17,0.20750000000000002,0.2205714285714286,Bretton Woods (Limited integration)
1948,0.18,0.20500000000000002,0.22514285714285714,Bretton Woods (Limited integration)
1949,0.19,0.2025,0.2297142857142857,Bretton Woods (Limited integration)
1950,0.2,0.2,0.23428571428571432,Bretton Woods (Limited integration)
1951,0.20500000000000002,0.20500000000000002,0.24014285714285716,Bretton Woods (Limited integration)
1952,0.21000000000000002,0.21000000000000002,0.24600000000000002,Bretton Woods (Limited integration)
1953,0.215,0.215,0.2518571428571429,Bretton Woods (Limited integration)
1954,0.22,0.22,0.2577142857142858,Bretton Woods (Limited integration)
1955,0.225,0.225,0.26357142857142857,Bretton Woods (Limited integration)
1956,0.23,0.23,0.26942857142857146,Bretton Woods (Limited integration)
1957,0.235,0.235,0.2752857142857143,Bretton Woods (Limited integration)
1958,0.24,0.24,0.28114285714285714,Bretton Woods (Limited integration)
1959,0.245,0.245,0.28700000000000003,Bretton Woods (Limited integration)
1960,0.25,0.25,0.29285714285714287,Bretton Woods (Limited integration)
1961,0.255,0.255,0.2987142857142857,Bretton Woods (Limited integration)
1962,0.26,0.26,0.3045714285714286,Bretton Woods (Limited integration)
1963,0.265,0.265,0.3104285714285715,Bretton Woods (Limited integration)
1964,0.27,0.27,0.31628571428571434,Bretton Woods (Limited integration)
1965,0.275,0.275,0.3221428571428572,Bretton Woods (Limited integration)
1966,0.27999999999999997,0.28,0.328,Bretton Woods (Limited integration)
1967,0.285,0.285,0.33385714285714285,Bretton Woods (Limited integration)
1968,0.29,0.29,0.3397142857142857,Bretton Woods (Limited integration)
1969,0.295,0.295,0.3455714285714286,Bretton Woods (Limited integration)
1970,0.3,0.3,0.3514285714285714,Second globalization
1971,0.315,0.3075,0.36471428571428577,Second globalization
1972,0.33,0.315,0.378,Second globalization
1973,0.345,0.3225,0.3912857142857143,Second globalization
1974,0.36,0.33,0.4045714285714286,Second globalization
1975,0.375,0.3375,0.41785714285714287,Second globalization
1976,0.39,0.345,0.43114285714285716,Second globalization
1977,0.405,0.3525,0.4444285714285714,Second globalization
1978,0.42000000000000004,0.36,0.45771428571428574,Second globalization
1979,0.43500000000000005,0.3675,0.47100000000000003,Second globalization
1980,0.45,0.375,0.4842857142857143,Second globalization
1981,0.47000000000000003,0.3825,0.5005714285714287,Second globalization
1982,0.49,0.39,0.5168571428571429,Second globalization
1983,0.51,0.3975,0.5331428571428571,Second globalization
1984,0.53,0.405,0.5494285714285715,Second globalization
1985,0.55,0.4125,0.5657142857142857,Second globalization
1986,0.5700000000000001,0.42000000000000004,0.5820000000000001,Second globalization
1987,0.59,0.4275,0.5982857142857143,Second globalization
1988,0.6100000000000001,0.43500000000000005,0.6145714285714287,Second globalization
1989,0.63,0.4425,0.6308571428571429,Second globalization
1990,0.65,0.45,0.6471428571428572,Second globalization
1991,0.665,0.46,0.6618571428571429,Second globalization
1992,0.68,0.47000000000000003,0.6765714285714286,Second globalization
1993,0.6950000000000001,0.48000000000000004,0.6912857142857144,Second globalization
1994,0.7100000000000001,0.49000000000000005,0.7060000000000001,Second globalization
1995,0.7250000000000001,0.5,0.7207142857142859,Second globalization
1996,0.74,0.51,0.7354285714285715,Second globalization
1997,0.755,0.52,0.7501428571428571,Second globalization
1998,0.77,0.53,0.7648571428571429,Second globalization
1999,0.785,0.54,0.7795714285714286,Second globalization
2000,0.8,0.55,0.7942857142857143,Second globalization
2001,0.8214285714285715,0.5625,0.8142857142857143,Second globalization
2002,0.8428571428571429,0.5750000000000001,0.8342857142857143,Second globalization
2003,0.8642857142857143,0.5875,0.8542857142857143,Second globalization
2004,0.8857142857142857,0.6000000000000001,0.8742857142857143,Second globalization
2005,0.9071428571428571,0.6125,0.8942857142857144,Second globalization
2006,0.9285714285714285,0.625,0.9142857142857143,Second globalization
2007,0.95,0.6375000000000001,0.9342857142857144,Second globalization
2008,0.9166666666666666,0.65,0.9214285714285715,Post-financial crisis
2009,0.8833333333333333,0.6458333333333334,0.8990476190476191,Post-financial crisis
2010,0.85,0.6416666666666667,0.8766666666666667,Post-financial crisis
2011,0.86,0.6375,0.8802857142857143,Post-financial crisis
2012,0.87,0.6333333333333333,0.883904761904762,Post-financial crisis
2013,0.88,0.6291666666666667,0.8875238095238096,Post-financial crisis
2014,0.89,0.625,0.8911428571428572,Post-financial crisis
2015,0.9,0.6208333333333333,0.8947619047619049,Post-financial crisis
2016,0.896,0.6166666666666667,0.8899809523809524,Post-financial crisis
2017,0.892,0.6125,0.8852000000000001,Post-financial crisis
2018,0.888,0.6083333333333333,0.8804190476190477,Post-financial crisis
2019,0.884,0.6041666666666666,0.8756380952380953,Post-financial crisis
2020,0.88,0.6,0.870857142857143,Post-financial crisis
